id,freelancer_id,project_id,bid_amount,bid_date,status
1,46,7,4531,2023-11-02,Accepted
2,44,36,622,2024-08-11,Rejected
3,37,59,843,2024-04-30,Accepted
4,27,31,2143,2025-02-06,Pending
5,3,31,1369,2024-02-23,Accepted
6,26,22,632,2023-11-16,Rejected
7,45,54,2761,2023-08-28,Rejected
8,37,52,425,2024-01-15,Pending
9,27,52,3974,2024-05-14,Rejected
10,50,22,3008,2024-04-23,Accepted
11,43,8,1616,2024-08-08,Rejected
12,46,31,1519,2024-03-21,Rejected
13,3,8,5674,2024-03-24,Pending
14,11,45,4074,2025-08-03,Rejected
15,29,32,3341,2025-06-19,Accepted
16,5,28,4436,2024-10-09,Rejected
17,17,3,3431,2024-12-12,Accepted
18,45,20,4640,2024-04-16,Accepted
19,11,22,4415,2023-12-27,Rejected
20,29,48,575,2024-11-09,Pending
21,34,44,5001,2023-10-08,Accepted
22,32,58,1042,2023-10-25,Rejected
23,36,10,5858,2024-09-24,Rejected
24,39,59,4543,2024-10-31,Accepted
25,49,11,5216,2024-04-02,Accepted
26,1,41,925,2023-12-06,Accepted
27,3,37,3792,2024-05-25,Rejected
28,32,25,1988,2025-07-04,Accepted
29,21,52,2672,2023-11-29,Pending
30,20,41,4686,2023-11-12,Accepted
31,30,6,5203,2025-04-22,Accepted
32,4,5,3722,2024-01-27,Accepted
33,27,52,4250,2024-04-08,Accepted
34,13,6,3483,2024-09-04,Pending
35,36,13,5276,2024-02-11,Pending
36,41,48,5103,2024-02-06,Pending
37,6,15,2213,2025-03-15,Accepted
38,47,4,467,2023-12-27,Pending
39,9,25,5682,2024-03-20,Accepted
40,1,1,301,2024-05-22,Rejected
41,26,7,1790,2024-06-28,Rejected
42,44,26,2777,2025-01-03,Pending
43,27,36,4452,2023-09-11,Accepted
44,21,34,4971,2025-06-05,Pending
45,1,19,2384,2023-11-17,Accepted
46,14,29,3025,2024-11-15,Accepted
47,1,59,837,2023-08-22,Accepted
48,46,32,4342,2024-06-07,Rejected
49,49,51,2446,2023-10-06,Accepted
50,1,38,2780,2025-02-02,Rejected
51,44,46,3642,2023-10-02,Rejected
52,34,44,3447,2023-11-17,Pending
53,40,14,3443,2024-06-28,Rejected
54,7,28,810,2024-03-26,Accepted
55,13,6,1641,2024-10-07,Accepted
56,8,24,5550,2024-06-25,Accepted
57,39,15,1343,2025-03-04,Rejected
58,42,17,2257,2025-07-26,Rejected
59,13,38,2651,2023-11-25,Rejected
60,20,50,3036,2024-11-08,Rejected
61,18,11,754,2024-06-29,Rejected
62,45,28,594,2024-03-25,Pending
63,12,13,4243,2024-12-13,Pending
64,7,23,3723,2024-05-08,Rejected
65,31,8,1454,2023-10-11,Accepted
66,26,5,4329,2024-02-15,Pending
67,41,53,5231,2024-07-17,Accepted
68,6,56,968,2024-12-10,Accepted
69,2,55,5817,2024-05-19,Pending
70,18,45,1540,2024-12-13,Pending
71,29,2,3189,2024-09-21,Rejected
72,8,58,3668,2023-09-20,Accepted
73,17,34,588,2024-05-25,Rejected
74,9,29,5311,2024-06-19,Accepted
75,42,49,4119,2023-08-13,Accepted
76,34,44,3467,2024-06-26,Accepted
77,42,13,4059,2025-02-22,Rejected
78,42,8,685,2025-07-07,Pending
79,23,32,1131,2024-04-12,Accepted
80,8,26,4157,2024-07-14,Accepted
81,10,17,1540,2024-01-12,Accepted
82,18,14,465,2024-05-21,Rejected
83,2,42,565,2024-03-21,Rejected
84,3,3,5201,2024-08-06,Rejected
85,3,52,5357,2023-10-16,Pending
86,14,14,1387,2023-12-29,Accepted
87,44,40,5460,2025-04-16,Accepted
88,17,10,2953,2023-10-30,Pending
89,36,7,1162,2024-03-09,Accepted
90,21,13,4798,2023-11-02,Rejected
91,24,30,5616,2024-10-13,Accepted
92,37,25,3139,2024-11-19,Pending
93,3,24,1897,2025-01-22,Accepted
94,48,35,3440,2023-12-04,Accepted
95,45,53,4316,2025-04-16,Rejected
96,39,10,1209,2025-02-02,Rejected
97,42,7,792,2024-07-18,Pending
98,32,39,5298,2025-07-28,Rejected
99,46,32,4127,2024-06-11,Pending
100,42,10,5332,2023-12-28,Accepted
101,30,37,5479,2025-03-25,Pending
102,41,26,3067,2024-06-29,Rejected
103,28,41,5628,2024-07-07,Rejected
104,24,44,1318,2023-12-20,Pending
105,35,28,5891,2024-02-15,Rejected
106,12,57,5395,2024-07-24,Accepted
107,14,34,2727,2024-04-27,Accepted
108,25,32,1341,2025-08-03,Rejected
109,38,44,3475,2024-09-16,Pending
110,19,59,2706,2023-11-25,Rejected
111,1,57,5878,2024-05-09,Pending
112,9,21,1295,2024-07-31,Pending
113,10,54,4551,2024-12-09,Accepted
114,18,32,1849,2024-12-14,Rejected
115,22,32,612,2023-10-13,Rejected
116,22,41,3511,2024-08-16,Accepted
117,24,43,3941,2025-03-15,Rejected
118,46,56,3343,2024-01-12,Pending
119,6,13,1860,2024-03-22,Rejected
120,22,35,4031,2023-08-08,Rejected
121,50,40,3220,2025-05-12,Accepted
122,40,60,5477,2025-01-30,Rejected
123,3,15,917,2024-07-20,Rejected
124,3,1,665,2024-11-29,Rejected
125,18,22,627,2024-07-30,Accepted
126,11,46,4282,2023-08-13,Accepted
127,10,48,2392,2024-01-23,Accepted
128,38,58,518,2024-03-25,Rejected
129,19,21,4560,2023-11-03,Accepted
130,24,53,5760,2025-03-26,Pending
131,26,21,4963,2024-12-07,Pending
132,36,3,4984,2024-03-27,Pending
133,9,34,2069,2024-10-03,Accepted
134,19,10,2181,2024-11-22,Pending
135,8,56,1065,2023-12-06,Rejected
136,31,17,5439,2024-07-01,Rejected
137,47,39,4415,2025-02-05,Accepted
138,16,51,4590,2025-03-12,Rejected
139,4,10,3741,2024-08-07,Rejected
140,20,54,4454,2023-10-17,Accepted
141,12,25,2801,2025-01-14,Accepted
142,34,38,1229,2024-08-27,Rejected
143,47,19,1493,2025-03-19,Rejected
144,5,46,3789,2024-02-03,Pending
145,20,46,4936,2024-10-02,Accepted
146,26,52,3757,2025-03-20,Rejected
147,22,31,988,2024-06-16,Rejected
148,20,5,1158,2024-03-11,Pending
149,27,52,3704,2024-12-09,Pending
150,7,6,815,2023-08-23,Accepted
